========= Job started  at Wed Mar 25 11:22:39 CET 2026 ==========
My jobid: 4586853
My array id: 4
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ni', 'Cu', 'Rh', 'Ir', 'Pd', 'Pt', 'Au', 'Ag']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    6 11:23:21     -330.013733        1.012692
BFGS:    7 11:23:21     -330.240692        0.958652
BFGS:    8 11:23:21     -330.822693        1.102720
BFGS:    9 11:23:21     -331.235413        1.041892
BFGS:   10 11:23:22     -331.611328        0.857994
BFGS:   11 11:23:22     -331.807861        0.795692
BFGS:   12 11:23:22     -332.152710        0.887793
BFGS:   13 11:23:22     -332.548981        0.683076
BFGS:   14 11:23:22     -332.824524        0.801265
BFGS:   15 11:23:22     -332.989807        0.678242
BFGS:   16 11:23:22     -333.191193        0.521638
BFGS:   17 11:23:22     -333.366730        0.521160
BFGS:   18 11:23:22     -333.503876        0.627291
BFGS:   19 11:23:22     -333.592377        0.570409
BFGS:   20 11:23:22     -333.665192        0.408766
BFGS:   21 11:23:22     -333.734833        0.379327
BFGS:   22 11:23:22     -333.789124        0.453956
BFGS:   23 11:23:22     -333.834106        0.406559
BFGS:   24 11:23:22     -333.873230        0.253650
BFGS:   25 11:23:22     -333.905365        0.243883
BFGS:   26 11:23:22     -333.931824        0.322703
BFGS:   27 11:23:23     -333.954926        0.346678
BFGS:   28 11:23:23     -333.975525        0.254693
BFGS:   29 11:23:23     -333.990723        0.149008
BFGS:   30 11:23:23     -334.001862        0.158083
BFGS:   31 11:23:23     -334.013123        0.195895
BFGS:   32 11:23:23     -334.026642        0.182433
BFGS:   33 11:23:23     -334.039001        0.137176
BFGS:   34 11:23:23     -334.046692        0.101742
BFGS:   35 11:23:23     -334.051147        0.085763
BFGS:   36 11:23:23     -334.055481        0.093106
BFGS:   37 11:23:23     -334.060944        0.070073
BFGS:   38 11:23:23     -334.066284        0.065057
BFGS:   39 11:23:23     -334.070923        0.058650
BFGS:   40 11:23:23     -334.075592        0.071674
BFGS:   41 11:23:23     -334.080688        0.071205
BFGS:   42 11:23:23     -334.085297        0.059565
BFGS:   43 11:23:23     -334.088776        0.050330
BFGS:   44 11:23:23     -334.091827        0.044658
      Step     Time          Energy          fmax
BFGS:    0 11:23:24     -306.301025        2.350224
BFGS:    1 11:23:24     -306.917053        2.267058
BFGS:    2 11:23:24     -309.740906        1.407462
BFGS:    3 11:23:24     -310.703583        1.515290
BFGS:    4 11:23:24     -310.907562        1.201401
BFGS:    5 11:23:24     -311.575012        0.589309
BFGS:    6 11:23:24     -312.330322        0.988545
BFGS:    7 11:23:24     -312.610046        0.955659
BFGS:    8 11:23:24     -312.972473        0.748610
BFGS:    9 11:23:24     -313.523193        0.944202
BFGS:   10 11:23:24     -313.945831        1.002272
BFGS:   11 11:23:24     -314.336487        0.827541
BFGS:   12 11:23:24     -314.591064        0.750898
BFGS:   13 11:23:24     -314.903137        0.659250
BFGS:   14 11:23:24     -315.278015        0.552922
BFGS:   15 11:23:24     -315.518066        0.705011
BFGS:   16 11:23:24     -315.654602        0.654147
BFGS:   17 11:23:25     -315.794525        0.498183
BFGS:   18 11:23:25     -315.884521        0.367881
BFGS:   19 11:23:25     -315.968567        0.311967
BFGS:   20 11:23:25     -316.012634        0.265657
BFGS:   21 11:23:25     -316.046570        0.214299
BFGS:   22 11:23:25     -316.082764        0.169980
BFGS:   23 11:23:25     -316.107544        0.155903
BFGS:   24 11:23:25     -316.121094        0.161070
BFGS:   25 11:23:25     -316.132812        0.154694
BFGS:   26 11:23:25     -316.146301        0.117604
BFGS:   27 11:23:25     -316.157349        0.106071
BFGS:   28 11:23:25     -316.163818        0.085463
BFGS:   29 11:23:25     -316.168091        0.075791
BFGS:   30 11:23:25     -316.173401        0.080709
BFGS:   31 11:23:25     -316.179443        0.095433
BFGS:   32 11:23:25     -316.184265        0.092237
BFGS:   33 11:23:25     -316.187500        0.070338
BFGS:   34 11:23:25     -316.190369        0.048090
      Step     Time          Energy          fmax
BFGS:    0 11:23:26     -314.649902        2.374379
BFGS:    1 11:23:26     -315.340637        2.241438
BFGS:    2 11:23:26     -318.499634        1.259545
BFGS:    3 11:23:26     -319.569519        2.208222
BFGS:    4 11:23:26     -319.960571        1.585717
BFGS:    5 11:23:26     -320.891357        0.753801
BFGS:    6 11:23:26     -321.476990        1.036902
BFGS:    7 11:23:26     -321.661133        1.130375
BFGS:    8 11:23:26     -322.218567        1.289340
BFGS:    9 11:23:26     -322.558716        0.963850
BFGS:   10 11:23:26     -322.793701        0.764482
BFGS:   11 11:23:26     -322.929626        0.920730
BFGS:   12 11:23:26     -323.314209        1.061600
BFGS:   13 11:23:26     -323.540344        0.756720
BFGS:   14 11:23:26     -323.674927        0.641480
BFGS:   15 11:23:26     -323.820496        0.709819
BFGS:   16 11:23:26     -323.986755        0.736817
BFGS:   17 11:23:26     -324.101379        0.625339
BFGS:   18 11:23:27     -324.184570        0.531112
BFGS:   19 11:23:27     -324.241638        0.549778
BFGS:   20 11:23:27     -324.304321        0.566983
BFGS:   21 11:23:27     -324.362610        0.431532
BFGS:   22 11:23:27     -324.393738        0.255605
BFGS:   23 11:23:27     -324.415466        0.203301
BFGS:   24 11:23:27     -324.434387        0.230352
BFGS:   25 11:23:27     -324.447571        0.196646
BFGS:   26 11:23:27     -324.455078        0.112617
BFGS:   27 11:23:27     -324.460083        0.082905
BFGS:   28 11:23:27     -324.465515        0.105006
BFGS:   29 11:23:27     -324.471863        0.136523
BFGS:   30 11:23:27     -324.476562        0.103639
BFGS:   31 11:23:27     -324.479187        0.050562
BFGS:   32 11:23:27     -324.481628        0.058058
BFGS:   33 11:23:27     -324.484497        0.071444
BFGS:   34 11:23:27     -324.487000        0.056813
BFGS:   35 11:23:27     -324.488525        0.036771
      Step     Time          Energy          fmax
BFGS:    0 11:23:28     -401.280457        2.772617
BFGS:    1 11:23:28     -402.115540        2.665787
BFGS:    2 11:23:28     -405.680481        1.858416
BFGS:    3 11:23:28     -407.793518        1.086234
BFGS:    4 11:23:28     -408.362000        1.636053
BFGS:    5 11:23:28     -408.826996        1.556233
BFGS:    6 11:23:28     -410.771912        0.986789
BFGS:    7 11:23:28     -411.305176        1.303643
BFGS:    8 11:23:28     -411.744019        1.225467
BFGS:    9 11:23:28     -412.505554        0.982465
BFGS:   10 11:23:28     -413.119385        0.876427
BFGS:   11 11:23:28     -413.605713        1.097742
BFGS:   12 11:23:28     -413.943268        1.084974
BFGS:   13 11:23:28     -414.379211        0.808568
BFGS:   14 11:23:28     -414.687866        0.596186
BFGS:   15 11:23:28     -414.860748        0.547005
BFGS:   16 11:23:28     -415.001007        0.543514
BFGS:   17 11:23:29     -415.144226        0.562556
BFGS:   18 11:23:29     -415.251038        0.379975
BFGS:   19 11:23:29     -415.320953        0.337891
BFGS:   20 11:23:29     -415.361450        0.274112
BFGS:   21 11:23:29     -415.391815        0.272819
