========= Job started  at Wed Mar 25 11:37:38 CET 2026 ==========
My jobid: 4587072
My array id: 5
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ag', 'Pt', 'Pd', 'Ir', 'Au']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:   26 11:43:10     -325.875671        0.061487
BFGS:   27 11:43:10     -325.878235        0.044728
      Step     Time          Energy          fmax
BFGS:    0 11:43:10     -314.204987        1.333386
BFGS:    1 11:43:10     -314.479675        1.249369
BFGS:    2 11:43:11     -315.493561        1.034227
BFGS:    3 11:43:11     -315.640900        0.589137
BFGS:    4 11:43:11     -315.721619        0.518174
BFGS:    5 11:43:11     -316.102478        0.482658
BFGS:    6 11:43:11     -316.130798        0.378965
BFGS:    7 11:43:11     -316.253967        0.264443
BFGS:    8 11:43:11     -316.302185        0.292871
BFGS:    9 11:43:11     -316.335815        0.219354
BFGS:   10 11:43:11     -316.367737        0.190357
BFGS:   11 11:43:11     -316.399445        0.190201
BFGS:   12 11:43:11     -316.420532        0.163297
BFGS:   13 11:43:11     -316.433289        0.133457
BFGS:   14 11:43:11     -316.445160        0.117328
BFGS:   15 11:43:11     -316.460327        0.110281
BFGS:   16 11:43:11     -316.474030        0.098808
BFGS:   17 11:43:11     -316.482941        0.123858
BFGS:   18 11:43:11     -316.489014        0.099261
BFGS:   19 11:43:12     -316.494690        0.051958
BFGS:   20 11:43:12     -316.499023        0.067828
BFGS:   21 11:43:12     -316.501648        0.063207
BFGS:   22 11:43:12     -316.503510        0.053553
BFGS:   23 11:43:12     -316.505371        0.037771
      Step     Time          Energy          fmax
BFGS:    0 11:43:12     -397.540161        1.956448
BFGS:    1 11:43:12     -398.144226        1.849041
BFGS:    2 11:43:12     -401.000000        1.148219
BFGS:    3 11:43:12     -401.447540        1.687021
BFGS:    4 11:43:12     -401.726257        1.448673
BFGS:    5 11:43:12     -403.123291        0.565535
BFGS:    6 11:43:12     -403.514526        1.032661
BFGS:    7 11:43:12     -403.755005        0.969961
BFGS:    8 11:43:12     -404.497314        0.599951
BFGS:    9 11:43:12     -404.653748        0.480863
BFGS:   10 11:43:12     -404.857971        0.608892
BFGS:   11 11:43:12     -405.001373        0.542096
BFGS:   12 11:43:13     -405.158630        0.410399
BFGS:   13 11:43:13     -405.230743        0.277329
BFGS:   14 11:43:13     -405.282562        0.423345
BFGS:   15 11:43:13     -405.334747        0.405688
BFGS:   16 11:43:13     -405.384857        0.241440
BFGS:   17 11:43:13     -405.414795        0.207670
BFGS:   18 11:43:13     -405.434998        0.217187
BFGS:   19 11:43:13     -405.454773        0.222930
BFGS:   20 11:43:13     -405.473450        0.137992
BFGS:   21 11:43:13     -405.486115        0.105884
BFGS:   22 11:43:13     -405.495026        0.106858
BFGS:   23 11:43:13     -405.504242        0.128334
BFGS:   24 11:43:13     -405.513702        0.088535
BFGS:   25 11:43:13     -405.520569        0.063365
BFGS:   26 11:43:13     -405.524689        0.045948
      Step     Time          Energy          fmax
BFGS:    0 11:43:13     -367.845062        1.757241
BFGS:    1 11:43:13     -368.464233        1.683177
BFGS:    2 11:43:14     -371.085052        1.344545
BFGS:    3 11:43:14     -371.272369        1.316102
BFGS:    4 11:43:14     -372.566956        0.831836
BFGS:    5 11:43:14     -372.796204        0.977014
BFGS:    6 11:43:14     -373.138885        0.979532
BFGS:    7 11:43:14     -373.668518        0.820340
BFGS:    8 11:43:14     -373.949829        0.723258
BFGS:    9 11:43:14     -374.190948        0.578935
BFGS:   10 11:43:14     -374.326477        0.563124
BFGS:   11 11:43:14     -374.623322        0.584849
BFGS:   12 11:43:14     -374.733398        0.373815
BFGS:   13 11:43:14     -374.810638        0.346166
BFGS:   14 11:43:14     -374.852509        0.304388
BFGS:   15 11:43:14     -374.916290        0.301565
BFGS:   16 11:43:14     -374.953094        0.172019
BFGS:   17 11:43:14     -374.978882        0.178805
BFGS:   18 11:43:14     -375.001129        0.162708
BFGS:   19 11:43:15     -375.026459        0.201138
BFGS:   20 11:43:15     -375.044830        0.147430
BFGS:   21 11:43:15     -375.057312        0.133889
BFGS:   22 11:43:15     -375.068268        0.113562
BFGS:   23 11:43:15     -375.079254        0.096864
BFGS:   24 11:43:15     -375.087524        0.080558
BFGS:   25 11:43:15     -375.092896        0.077360
BFGS:   26 11:43:15     -375.097748        0.079029
BFGS:   27 11:43:15     -375.103363        0.068666
BFGS:   28 11:43:15     -375.108551        0.061840
BFGS:   29 11:43:15     -375.112610        0.047815
      Step     Time          Energy          fmax
BFGS:    0 11:43:15     -363.757202        2.794901
